date,product_id,city_id,orders
2019-10-17,2824,25,3
2018-09-08,4657,14,1
2019-11-24,9935,25,50
2019-03-09,1520,25,1
2018-08-12,4811,41,50
2018-01-28,4257,19,20
2019-03-06,4611,33,50
2018-10-12,1106,8,1
2019-12-16,7924,7,3
2018-06-09,4527,8,5
2018-04-15,2519,33,1
2019-01-03,6635,41,3
2018-02-14,8527,41,1
2019-01-23,2291,41,3
2019-10-06,6925,41,2
2019-12-23,2139,25,2
2018-10-24,2307,8,2
2018-04-14,7227,7,157
2019-10-13,6977,14,5
2018-12-30,4432,19,3
2019-12-20,2169,41,1
2019-07-01,5010,14,157
2019-01-24,5422,19,20
2018-08-13,6313,8,1
2018-08-23,1525,8,5
2019-02-15,5386,25,2
2019-08-04,6155,14,157
2019-02-10,8517,14,3
2018-05-23,5040,19,20
2019-07-06,5304,19,50
2019-03-15,7543,7,2
2018-05-22,9348,33,1
2018-02-18,2796,14,1
2019-11-28,7916,41,1
2019-01-30,7252,41,157
2019-06-26,5119,41,1
2019-11-28,2876,19,20
2018-10-01,6573,25,3
2019-03-22,3591,33,1
2018-09-27,9201,8,1
2019-06-04,2743,8,3
2019-10-17,9317,41,2
2018-06-06,7126,8,1
2019-07-07,9689,25,50
2018-11-28,9005,25,1
2019-01-07,6038,14,1
2018-09-04,2290,25,157
2018-03-12,9727,8,1
2018-05-12,8787,41,1
2018-09-29,9645,8,50
2019-03-10,4470,41,2
2018-11-16,7537,19,5
2019-03-25,9479,33,1
2018-09-11,4681,25,5
2018-01-22,4770,41,2
2018-01-08,2163,19,1
2018-08-23,2104,25,5
2018-03-14,9423,14,3
2019-11-17,8953,14,20
2018-05-16,8744,14,157
2019-02-21,4119,25,1
2019-11-06,8062,7,10
2019-02-25,8651,8,1
2019-11-21,2612,25,10
2018-12-14,2790,14,2
2018-07-14,9786,33,1
2019-03-09,4006,7,157
2018-09-13,2235,33,20
2018-04-11,1828,19,20
2018-01-16,2528,8,2
2018-06-20,7658,33,157
2018-08-07,7570,25,1
2019-01-24,1035,33,3
2019-04-11,5673,33,20
2019-11-09,8973,14,2
2018-10-31,4566,25,50
2019-07-10,1998,19,5
2018-02-28,1821,41,157
2019-05-30,9701,14,1
2019-06-05,2312,8,1
2018-03-12,2113,19,2
2019-02-18,2964,41,2
2019-08-16,1651,41,1
2019-03-06,9565,7,3
2018-07-29,6147,14,3
2019-02-10,3144,19,3
2019-04-14,6180,8,1
2018-01-10,8508,41,50
2018-04-13,2200,41,2
2019-06-03,5345,14,5
2018-03-12,5002,7,3
2018-06-11,8179,8,20
2019-12-22,5956,41,20
2018-01-09,5905,19,1
2018-05-18,5333,25,1
2019-07-21,3546,7,3
2019-09-12,4450,19,5
2018-07-28,5325,41,157
2018-09-15,1832,25,10
2018-10-11,1722,25,5
